"CountryCode","SeriesCode","DESCRIPTION",
"ABW","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ABW","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ABW","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ABW","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2022 are World Bank staff estimates. Short-term debt  before 2010 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
