date, pm25
2024/1/1, 175
2024/1/2, 179
2024/1/3, 177
2024/1/4, 181
2024/1/5, 182
2024/1/6, 175
2023/10/1, 88
2023/10/2, 86
2023/10/3, 70
2023/10/4, 72
2023/10/5, 76
2023/10/6, 81
2023/10/7, 83
2023/10/8, 97
2023/10/9, 131
2023/10/10, 78
2023/10/11, 59
2023/10/12, 104
2023/10/13, 147
2023/10/14, 157
2023/10/15, 140
2023/10/16, 158
2023/10/17, 158
2023/10/18, 154
2023/10/19, 134
2023/10/20, 156
2023/10/21, 152
2023/10/22, 160
2023/10/23, 161
2023/10/24, 163
2023/10/25, 166
2023/10/26, 143
2023/10/27, 132
2023/10/28, 151
2023/10/29, 146
2023/10/30, 151
2023/10/31, 157
2023/11/1, 159
2023/11/2, 156
2023/11/3, 161
2023/11/4, 159
2023/11/5, 162
2023/11/6, 163
2023/11/7, 160
2023/11/8, 129
2023/11/9, 129
2023/11/10, 96
2023/11/11, 136
2023/11/12, 171
2023/11/13, 198
2023/11/14, 175
2023/11/15, 179
2023/11/16, 175
2023/11/17, 167
2023/11/18, 170
2023/11/19, 158
2023/11/20, 155
2023/11/21, 162
2023/11/22, 159
2023/11/23, 160
2023/11/24, 147
2023/11/25, 138
2023/11/26, 114
2023/11/27, 80
2023/11/28, 106
2023/11/29, 154
2023/11/30, 160
2023/12/1, 168
2023/12/2, 161
2023/12/3, 158
2023/12/4, 151
2023/12/5, 156
2023/12/6, 163
2023/12/7, 128
2023/12/8, 140
2023/12/9, 145
2023/12/10, 138
2023/12/11, 138
2023/12/12, 132
2023/12/13, 141
2023/12/14, 150
2023/12/15, 146
2023/12/16, 146
2023/12/17, 158
2023/12/18, 158
2023/12/19, 159
2023/12/20, 153
2023/12/21, 164
2023/12/22, 180
2023/12/23, 173
2023/12/24, 172
2023/12/25, 167
2023/12/26, 186
2023/12/27, 178
2023/12/28, 209
2023/12/29, 185
2023/12/30, 184
2023/12/31, 171
2023/7/1, 29
2023/7/2, 27
2023/7/3, 29
2023/7/4, 26
2023/7/5, 36
2023/7/6, 14
2023/7/7, 22
2023/7/8, 45
2023/7/9, 31
2023/7/10, 28
2023/7/11, 29
2023/7/12, 31
2023/7/13, 34
2023/7/14, 31
2023/7/15, 30
2023/7/16, 20
2023/7/17, 13
2023/7/18, 20
2023/7/19, 34
2023/7/20, 37
2023/7/21, 27
2023/7/22, 27
2023/7/23, 19
2023/7/24, 27
2023/7/25, 28
2023/7/26, 16
2023/7/27, 19
2023/7/28, 24
2023/7/29, 28
2023/7/30, 23
2023/7/31, 26
2023/8/1, 23
2023/8/3, 48
2023/8/4, 54
2023/8/5, 47
2023/8/7, 43
2023/8/8, 39
2023/8/9, 31
2023/8/10, 34
2023/8/11, 33
2023/8/12, 31
2023/8/13, 28
2023/8/14, 25
2023/8/15, 22
2023/8/16, 23
2023/8/17, 23
2023/8/18, 19
2023/8/19, 26
2023/8/20, 26
2023/8/21, 23
2023/8/22, 21
2023/8/23, 16
2023/8/25, 11
2023/8/26, 11
2023/8/27, 18
2023/8/28, 27
2023/8/29, 29
2023/8/30, 46
2023/8/31, 57
2023/9/1, 51
2023/9/2, 50
2023/9/3, 56
2023/9/4, 58
2023/9/5, 55
2023/9/6, 49
2023/9/7, 54
2023/9/8, 46
2023/9/9, 30
2023/9/10, 17
2023/9/11, 27
2023/9/12, 32
2023/9/13, 29
2023/9/14, 41
2023/9/15, 41
2023/9/16, 21
2023/9/17, 23
2023/9/18, 29
2023/9/19, 37
2023/9/20, 35
2023/9/21, 30
2023/9/22, 47
2023/9/23, 54
2023/9/24, 54
2023/9/25, 43
2023/9/26, 58
2023/9/27, 75
2023/9/28, 113
2023/9/29, 105
2023/9/30, 85
2023/4/1, 74
2023/4/2, 66
2023/4/3, 63
2023/4/4, 63
2023/4/5, 80
2023/4/6, 101
2023/4/7, 120
2023/4/8, 139
2023/4/9, 146
2023/4/10, 130
2023/4/11, 96
2023/4/12, 103
2023/4/13, 114
2023/4/14, 88
2023/4/15, 84
2023/4/16, 72
2023/4/17, 80
2023/4/18, 102
2023/4/19, 116
2023/4/20, 73
2023/4/21, 56
2023/4/22, 49
2023/4/23, 55
2023/4/24, 68
2023/4/25, 86
2023/4/26, 74
2023/4/27, 67
2023/4/28, 52
2023/4/29, 60
2023/4/30, 50
2023/5/1, 52
2023/5/2, 51
2023/5/3, 54
2023/5/4, 66
2023/5/5, 64
2023/5/6, 61
2023/5/7, 62
2023/5/8, 58
2023/5/9, 68
2023/5/10, 92
2023/5/11, 110
2023/5/12, 108
2023/5/13, 75
2023/5/14, 40
2023/5/15, 68
2023/5/16, 62
2023/5/17, 54
2023/5/18, 52
2023/5/19, 51
2023/5/20, 51
2023/5/21, 47
2023/5/22, 53
2023/5/23, 41
2023/5/24, 36
2023/5/25, 35
2023/5/26, 40
2023/5/27, 35
2023/5/28, 28
2023/5/29, 32
2023/5/30, 41
2023/5/31, 43
2023/6/1, 39
2023/6/2, 29
