Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective
2014,5,16,9,55.69,0.0,1
2014,5,16,10,57.35,0.0,1
2014,5,16,11,56.46,0.0,1
2014,5,16,12,57.41,0.0,1
2014,5,16,13,60.16,0.0,1
2014,5,16,14,57.88,0.0,1
2014,5,16,15,59.14,0.0,1
2014,5,16,16,61.39,0.0,1
2014,5,16,17,58.84,0.0,1
2014,5,16,18,58.85,0.0,1
2014,5,16,19,59.17,0.0,1
2014,5,16,20,60.6,0.0,1
2014,5,16,21,58.23,0.0,1
2014,5,16,22,54.37,0.0,1
2014,5,16,23,50.13,0.0,1
2014,5,17,0,44.88,0.0,1
2014,5,17,1,40.27,0.0,1
2014,5,17,2,38.06,0.0,1
2014,5,17,3,41.51,0.0,1
2014,5,17,4,51.38,0.0,1
2014,5,17,5,60.33,0.0,1
2014,5,17,6,68.58,0.0,1
2014,5,17,7,75.28,0.0,1
2014,5,17,8,82.2,0.0,1
2014,5,17,9,89.86,0.0,1
2014,5,17,10,96.77,0.0,1
2014,5,17,11,96.87,0.0,1
2014,5,17,12,96.6,0.0,1
2014,5,17,13,95.81,0.0,1
2014,5,17,14,91.81,0.0,1
2014,5,17,15,87.78,0.0,1
2014,5,17,16,81.87,0.0,1
2014,5,17,17,74.89,0.0,1
2014,5,17,18,70.02,0.0,1
2014,5,17,19,68.35,0.0,1
2014,5,17,20,65.18,0.0,1
2014,5,17,21,59.16,0.0,1
2014,5,17,22,53.15,0.0,1
2014,5,17,23,44.94,0.0,1
2014,5,18,0,39.24,0.0,1
2014,5,18,1,30.65,0.0,1
2014,5,18,2,25.08,0.0,1
2014,5,18,3,20.84,0.0,1
2014,5,18,4,20.82,0.0,1
2014,5,18,5,18.1,0.0,1
2014,5,18,6,16.38,0.0,1
2014,5,18,7,15.73,0.0,1
2014,5,18,8,16.13,0.0,1
2014,5,18,9,18.52,0.0,1
2014,5,18,10,22.48,0.0,1
2014,5,18,11,26.59,0.0,1
2014,5,18,12,27.67,0.0,1
2014,5,18,13,28.18,0.0,1
2014,5,18,14,26.51,0.0,1
2014,5,18,15,24.93,0.0,1
2014,5,18,16,27.2,0.0,1
2014,5,18,17,29.41,0.0,1
2014,5,18,18,25.9,0.0,1
2014,5,18,19,25.47,0.0,1
2014,5,18,20,24.29,0.0,1
2014,5,18,21,23.45,0.0,1
2014,5,18,22,25.71,0.0,1
2014,5,18,23,23.85,0.0,1
2014,5,19,0,24.72,0.0,1
2014,5,19,1,26.63,0.0,1
2014,5,19,2,28.84,0.0,1
2014,5,19,3,31.62,0.0,1
2014,5,19,4,34.38,0.0,1
2014,5,19,5,36.08,0.0,1
2014,5,19,6,38.0,0.0,1
2014,5,19,7,37.53,0.0,1
2014,5,19,8,37.2,0.0,1
2014,5,19,9,37.55,0.0,1
2014,5,19,10,39.54,0.0,1
2014,5,19,11,39.69,0.0,1
2014,5,19,12,44.21,0.0,1
2014,5,19,13,44.82,0.0,1
2014,5,19,14,42.63,0.0,1
2014,5,19,15,36.82,0.0,1
2014,5,19,16,36.16,0.0,1
2014,5,19,17,35.84,0.0,1
2014,5,19,18,35.66,0.0,1
2014,5,19,19,33.1,0.0,1
2014,5,19,20,33.27,0.0,1
2014,5,19,21,33.52,0.0,1
2014,5,19,22,38.08,0.0,1
2014,5,19,23,42.11,0.0,1
2014,5,20,0,42.32,0.0,1
2014,5,20,1,44.15,0.0,1
2014,5,20,2,50.06,0.0,1
2014,5,20,3,52.21,0.0,1
2014,5,20,4,57.54,0.0,1
2014,5,20,5,58.33,0.0,1
2014,5,20,6,59.31,0.0,1
2014,5,20,7,56.62,0.0,1
2014,5,20,8,49.17,0.0,1
2014,5,20,9,46.38,0.0,1
2014,5,20,10,47.32,0.0,1
2014,5,20,11,51.81,0.0,1
2014,5,20,12,58.99,0.0,1
2014,5,20,13,72.27,0.0,1
2014,5,20,14,91.06,0.0,1
2014,5,20,15,107.33,0.0,1
2014,5,20,16,108.35,0.0,1
2014,5,20,17,92.42,0.0,1
2014,5,20,18,93.75,0.0,1
2014,5,20,19,91.7,0.0,1
2014,5,20,20,78.68,0.0,1
2014,5,20,21,69.41,0.0,1
2014,5,20,22,68.1,0.0,1
2014,5,20,23,73.99,0.0,1
2014,5,21,0,79.05,0.0,1
2014,5,21,1,75.66,0.0,1
2014,5,21,2,74.27,0.0,1
2014,5,21,3,67.19,0.0,1
2014,5,21,4,53.88,0.0,1
2014,5,21,5,48.19,0.0,1
2014,5,21,6,47.3,0.0,1
2014,5,21,7,43.64,0.0,1
2014,5,21,8,38.79,0.0,1
2014,5,21,9,40.14,0.0,1
2014,5,21,10,44.34,0.0,1
2014,5,21,11,46.93,0.0,1
2014,5,21,12,48.99,0.0,1
2014,5,21,13,49.66,0.0,1
2014,5,21,14,54.95,0.0,1
2014,5,21,15,61.62,0.0,1
2014,5,21,16,65.75,0.0,1
2014,5,21,17,76.78,0.0,1
2014,5,21,18,97.93,0.0,1
2014,5,21,19,111.64,0.0,1
2014,5,21,20,112.0,0.0,1
2014,5,21,21,112.33,0.0,1
2014,5,21,22,118.7,0.0,1
2014,5,21,23,124.53,0.0,1
2014,5,22,0,126.11,0.0,1
2014,5,22,1,127.67,0.0,1
2014,5,22,2,127.2,0.0,1
2014,5,22,3,128.03,0.0,1
2014,5,22,4,126.34,0.0,1
2014,5,22,5,124.02,0.0,1
2014,5,22,6,122.46,0.0,1
2014,5,22,7,121.74,0.0,1
2014,5,22,8,124.7,0.0,1
2014,5,22,9,124.64,0.0,1
2014,5,22,10,118.94,0.0,1
2014,5,22,11,113.74,0.0,1
2014,5,22,12,110.85,0.0,1
2014,5,22,13,106.94,0.0,1
2014,5,22,14,103.82,0.0,1
2014,5,22,15,100.16,0.0,1
2014,5,22,16,101.1,0.0,1
2014,5,22,17,95.56,0.0,1
2014,5,22,18,82.57,0.0,1
2014,5,22,19,80.45,0.0,1
2014,5,22,20,63.99,0.0,1
2014,5,22,21,47.54,0.0,1
2014,5,22,22,39.14,0.0,1
2014,5,22,23,29.28,0.0,1
2014,5,23,0,25.37,0.0,1
2014,5,23,1,24.9,0.0,1
2014,5,23,2,24.93,0.0,1
2014,5,23,3,24.42,0.0,1
2014,5,23,4,25.63,0.0,1
2014,5,23,5,28.76,0.0,1
2014,5,23,6,28.44,0.0,1
2014,5,23,7,24.6,0.0,1
2014,5,23,8,21.4,0.0,1
2014,5,23,9,23.12,0.0,1
2014,5,23,10,25.01,0.0,1
2014,5,23,11,27.19,0.0,1
2014,5,23,12,29.13,0.0,1
2014,5,23,13,30.3,0.0,1
2014,5,23,14,31.26,0.0,1
2014,5,23,15,30.16,0.0,1
2014,5,23,16,27.96,0.0,1
2014,5,23,17,24.03,0.0,1
2014,5,23,18,19.79,0.0,1
2014,5,23,19,18.2,0.0,1
2014,5,23,23,15.48,0.0,1
2014,5,24,0,16.1,0.0,1
2014,5,24,1,15.01,0.0,1
2014,5,24,2,16.33,0.0,1
2014,5,24,3,17.64,0.0,1
2014,5,24,4,20.82,0.0,1
2014,5,24,5,22.11,0.0,1
2014,5,24,6,22.51,0.0,1
2014,5,24,7,20.57,0.0,1
2014,5,24,8,20.33,0.0,1
2014,5,24,9,19.58,0.0,1
2014,5,24,10,18.63,0.0,1
2014,5,24,11,19.15,0.0,1
2014,5,24,12,19.66,0.0,1
2014,5,24,13,20.22,0.0,1
2014,5,24,14,19.77,0.0,1
2014,5,24,15,20.77,0.0,1
2014,5,24,16,21.51,0.0,1
2014,5,24,17,22.26,0.0,1
2014,5,24,18,24.15,0.0,1
2014,5,24,19,25.7,0.0,1
2014,5,24,20,26.02,0.0,1
2014,5,24,21,25.97,0.0,1
2014,5,24,22,25.85,0.0,1
2014,5,24,23,24.67,0.0,1
2014,5,25,0,24.74,0.0,1
2014,5,25,1,22.49,0.0,1
2014,5,25,2,27.33,0.0,1
2014,5,25,3,28.97,0.0,1
2014,5,25,4,26.72,0.0,1
2014,5,25,5,29.27,0.0,1
2014,5,25,6,25.35,0.0,1
2014,5,25,7,22.33,0.0,1
2014,5,25,8,22.24,0.0,1
2014,5,25,9,20.25,0.0,1
2014,5,25,10,19.69,0.0,1
2014,5,25,11,20.03,0.0,1
2014,5,25,12,19.15,0.0,1
2014,5,25,13,20.39,0.0,1
2014,5,25,14,21.64,0.0,1
2014,5,25,15,26.98,0.0,1
2014,5,25,16,33.76,0.0,1
2014,5,25,17,43.31,0.0,1
2014,5,25,18,59.19,0.0,1
2014,5,25,19,84.37,0.0,1
2014,5,25,20,108.55,0.0,1
2014,5,25,21,114.61,0.0,1
2014,5,25,22,116.45,0.0,1
2014,5,25,23,128.07,0.0,1
2014,5,26,0,151.35,0.0,1
2014,5,26,1,158.59,0.0,1
2014,5,26,2,146.25,0.0,1
2014,5,26,3,114.13,0.0,1
2014,5,26,4,96.79,0.0,1
2014,5,26,5,91.04,0.0,1
2014,5,26,6,90.12,0.0,1
2014,5,26,7,86.73,0.0,1
2014,5,26,8,84.28,0.0,1
